	name	start	stop	strand
0	b2519	2645013	2647325	-
1	b2518	2644433	2644864	-
2	b3352	3481289	3483202	+
3	b3353	3483202	3484224	+
4	b1500	1583762	1583959	-
5	b2923	3068173	3068808	-
6	b2513	2638663	2639283	-
7	b2512	2637474	2638652	-
8	b2511	2635884	2637356	-
9	b2510	2635599	2635814	-
10	b2517	2643129	2644283	-
11	b2516	2641831	2642844	-
12	b2515	2640686	2641804	-
13	b2514	2639301	2640575	-
14	b3355	3484490	3485359	+
15	b3258	3407607	3409058	+
16	b3120	3267854	3268393	+
17	b3825	4009170	4010192	+
18	b3357	3486120	3486752	+
19	b2924	3068947	3069807	-
20	b2199	2295583	2296320	-
21	b2198	2295377	2295586	-
22	b2197	2294901	2295380	-
23	b2196	2292961	2294904	-
24	b2195	2292407	2292964	-
25	b2194	2291358	2292410	-
26	b2193	2290500	2291147	+
27	b2192	2289065	2290081	-
28	b4016	4218596	4220332	+
29	b3734	3918316	3919857	-
30	b2698	2822139	2822639	-
31	b3736	3920418	3920888	-
32	b3737	3920950	3921189	-
33	b2359	2473604	2473966	+
34	b3731	3915553	3915972	-
35	b2609	2745937	2746185	-
36	b2608	2745370	2745918	-
37	b2607	2744572	2745339	-
38	b2354	2471077	2471517	-
39	b2357	2472387	2472881	-
40	b2604	2742383	2743609	+
41	b2351	2468214	2469134	+
42	b2350	2467855	2468217	+
43	b2601	2740080	2741150	-
44	b2352	2469131	2470462	+
45	b2175	2269979	2270545	+
46	b2174	2268854	2269567	+
47	b2177	2272364	2274178	+
48	b2176	2270726	2272282	+
49	b2171	2265450	2266022	+
50	b2170	2263863	2265044	+
51	b2173	2267829	2268815	+
52	b2172	2266245	2267711	+
53	b3987	4181245	4185273	+
54	b2179	2275273	2276298	+
55	b2178	2274179	2275273	+
56	b3454	3592724	3593437	-
57	b2997	3145143	3146261	-
58	b2996	3144154	3145140	-
59	b2995	3142986	3144164	-
60	b2994	3141286	3142989	-
61	b2993	3140792	3141286	-
62	b2992	3140311	3140799	-
63	b2991	3139977	3140318	-
64	b2990	3139716	3139964	-
65	b1897	1981587	1982387	-
66	b1896	1980188	1981612	-
67	b1895	1979753	1980181	+
68	b1894	1978940	1979215	-
69	b1893	1978518	1979021	-
70	b1892	1977847	1978197	-
71	b1891	1977266	1977844	-
72	b1890	1976252	1977139	-
73	b3404	3534516	3535868	-
74	b3858	4042069	4042338	+
75	b3408	3540163	3540390	+
76	b4013	4214280	4215209	+
77	b1097	1154112	1155134	+
78	b1096	1153300	1154109	+
79	b1095	1151939	1153180	+
80	b1094	1151615	1151851	+
81	b1093	1150670	1151404	+
82	b1092	1149728	1150657	+
83	b1091	1148759	1149712	+
84	b1090	1147621	1148691	+
85	b1099	1155762	1156766	+
86	b1098	1155124	1155765	+
87	b3409	3540407	3542728	+
88	b3207	3348452	3349084	+
89	b2876	3014287	3015057	-
90	b1918	1997811	1998479	-
91	b2777	2904747	2905418	-
92	b2776	2901896	2903374	+
93	b2775	2900592	2901869	+
94	b1919	1998494	1999480	-
95	b2771	2896533	2897870	-
96	b2770	2895776	2896555	-
97	b3350	3478802	3480607	-
98	b2779	2906643	2907941	-
99	b2778	2905711	2906583	+
100	b1273	1330417	1330668	-
101	b1272	1329332	1330381	+
102	b1271	1328354	1329112	-
103	b1270	1327767	1328357	-
104	b1277	1338570	1339160	-
105	b1276	1335831	1338506	+
106	b1275	1333855	1334829	+
107	b1274	1331048	1333645	+
108	b1279	1340243	1340551	+
109	b1278	1339330	1340094	+
110	b4359	4597150	4599441	-
111	b3458	3596451	3597560	-
112	b3351	3480607	3481161	-
113	b4352	4587909	4588865	-
114	b4351	4586949	4587863	+
115	b4350	4583249	4586761	-
116	b4357	4594937	4595851	-
117	b1859	1943414	1944199	+
118	b4355	4591657	4593312	+
119	b4354	4589129	4591279	-
120	b1858	1942662	1943417	+
121	b1916	1996110	1996832	-
122	b1917	1997062	1997814	-
123	b0708	739507	740925	+
124	b0709	741075	742556	-
125	b1653	1729087	1733703	+
126	b1652	1728347	1728994	+
127	b1655	1734435	1735250	+
128	b1654	1733754	1734101	-
129	b0878	919235	920350	+
130	b0879	920347	922293	+
131	b0700	729583	733776	+
132	b0877	918128	919120	-
133	b0702	733776	734102	+
134	b0875	915352	916047	-
135	b0704	735650	736219	+
136	b0873	912162	913814	-
137	b0706	738092	738853	+
138	b0707	739001	739510	+
139	b4137	4365018	4365356	-
140	b1457	1529922	1530404	+
141	b4135	4362733	4363308	-
142	b3327	3459817	3461013	+
143	b4133	4360396	4361934	-
144	b4132	4358697	4360031	-
145	b4131	4356470	4358617	-
146	b4130	4354954	4356411	-
147	b2218	2317027	2319876	-
148	b4389	4625912	4627294	+
149	b1455	1526940	1527152	+
150	b4139	4366891	4368327	-
151	b4138	4365472	4366773	-
152	b1479	1553972	1555669	-
153	b1478	1552828	1553838	-
154	b2930	3075217	3076182	-
155	b1454	1526247	1526864	+
156	b1453	1524481	1525980	-
157	b1473	1546288	1547169	-
158	b1475	1550461	1551345	+
159	b1474	1547401	1550448	+
160	b1477	1552398	1552682	-
161	b1452	1523307	1524368	+
162	b1323	1386720	1388261	+
163	b3735	3919870	3920403	-
164	b0109	117752	118645	-
165	b0674	697513	699177	-
166	b0675	699574	700326	-
167	b0676	700374	701594	-
168	b0677	701603	702751	-
169	b3730	3913830	3915200	-
170	b0678	702811	703611	-
171	b0679	703944	705890	+
172	b2948	3092937	3093500	+
173	b0298	315291	315590	+
174	b0299	315587	316453	+
175	b0296	312514	312777	-
176	b0102	111856	112599	-
177	b0294	310746	311336	-
178	b0295	312112	312339	+
179	b0292	309358	310026	-
180	b0293	310084	310671	-
181	b0290	305174	306817	-
182	b0291	306807	309332	-
183	b4003	4201926	4203323	+
184	b1504	1588309	1588839	-
185	b1507	1590854	1592176	-
186	b4000	4200281	4200553	+
187	b0058	59687	60346	-
188	b0059	60358	63264	-
189	b1503	1587793	1588296	-
190	b1502	1586820	1587734	-
191	b0054	54755	57109	-
192	b0055	57364	58179	+
193	b4480	3947128	3947967	-
194	b0050	51229	51606	-
195	b0051	51609	52430	-
196	b0052	52427	53416	-
197	b0053	53416	54702	-
198	b3831	4016431	4017192	+
199	b2603	2741875	2742393	+
200	b2602	2741360	2741725	+
201	b0906	956762	957454	+
202	b0907	957653	958741	+
203	b0904	953609	954466	-
204	b0905	954872	956632	-
205	b0902	950340	951080	-
206	b0903	951272	953554	-
207	b0456	476672	477025	+
208	b0457	477067	478617	-
209	b0458	478781	479251	-
210	b0459	479367	479918	-
211	b2600	2738948	2740069	-
212	b0908	958812	960095	+
213	b0909	960264	961028	+
214	b4002	4201263	4201688	-
215	b3457	3595477	3596403	-
216	b4245	4471460	4472395	-
217	b4241	4466299	4467246	-
218	b3358	3486791	3488893	+
219	b4226	4449122	4449652	-
220	b4240	4464759	4466180	-
221	b1336	1400247	1401773	-
222	b3359	3488960	3490180	-
223	b4366	4604160	4604837	+
224	b2949	3093500	3093916	+
225	b1337	1401810	1403255	-
226	b3039	3181619	3182407	-
227	b3038	3180421	3181581	+
228	b3037	3179744	3180415	+
229	b3035	3178115	3179596	+
230	b3034	3177281	3177910	-
231	b3033	3176858	3177280	-
232	b3032	3176006	3176833	-
233	b3031	3175425	3176006	-
234	b3030	3173504	3175396	-
235	b3918	4109930	4110685	+
236	b4227	4449962	4450918	+
237	b3919	4110740	4111507	-
238	b3587	3754105	3754428	-
239	b3586	3752963	3754099	-
240	b2938	3083935	3085911	-
241	b3584	3751128	3751868	-
242	b3583	3750086	3750781	+
243	b3582	3749232	3750092	+
244	b3581	3748577	3749239	+
245	b3580	3747084	3748580	+
246	b2035	2106060	2107226	-
247	b3589	3756676	3757827	-
248	b3588	3754973	3756511	-
249	b3412	3544074	3544844	-
250	b3915	4106469	4107371	+
251	b3916	4107552	4108514	+
252	b3917	4108834	4109823	+
253	b4005	4204642	4205931	-
254	b2852	2992094	2993470	+
255	b2853	2993638	2993856	+
256	b3543	3704771	3705790	-
257	b3912	4104972	4105670	-
258	b3542	3703859	3704761	-
259	b3103	3252304	3252669	+
260	b3102	3251024	3252010	+
261	b3101	3250562	3250954	+
262	b2851	2991268	2991759	+
263	b3107	3255043	3255207	+
264	b3106	3254319	3255020	+
265	b3105	3253318	3254214	-
266	b3104	3252911	3253267	+
267	b3363	3491725	3492297	-
268	b3362	3491453	3491620	-
269	b3361	3490861	3491463	-
270	b3360	3490266	3490829	-
271	b3367	3497003	3497809	+
272	b3366	3496551	3496877	+
273	b3365	3494011	3496554	+
274	b3364	3492568	3493749	+
275	b3547	3710799	3712007	-
276	b3369	3499448	3499615	+
277	b3368	3497828	3499201	+
278	b3418	3553085	3555790	+
279	b3546	3708784	3710475	-
280	b2499	2621197	2622234	+
281	b3691	3870438	3871730	-
282	b3690	3869377	3870441	+
283	b3697	3876140	3876952	-
284	b3696	3875438	3876094	+
285	b3699	3877705	3880119	-
286	b3544	3706098	3707705	-
287	b4222	4447894	4448235	+
288	b2188	2284376	2286136	+
289	b2180	2276300	2277889	+
290	b2181	2277893	2278237	-
291	b2182	2278570	2279760	-
292	b2183	2279788	2280483	-
293	b2184	2280632	2282392	+
294	b2185	2282517	2282801	+
295	b2186	2282940	2283947	-
296	b2187	2284129	2284356	+
297	b2618	2754008	2754298	-
298	b2619	2754288	2754764	-
299	b3215	3362112	3362786	+
300	b3214	3361176	3361940	+
301	b3213	3359198	3360616	+
302	b3212	3354725	3359185	+
303	b3211	3353121	3354050	-
304	b2349	2466545	2467702	+
305	b2346	2464252	2465007	-
306	b2347	2465301	2466233	+
307	b2344	2461306	2462646	+
308	b2345	2463012	2464070	+
309	b2342	2459159	2460469	-
310	b2343	2460650	2460934	-
311	b2340	2456327	2456812	-
312	b2341	2457015	2459159	-
313	b2166	2258355	2259296	-
314	b2167	2259719	2261410	-
315	b2164	2256085	2257335	-
316	b2165	2257429	2258367	-
317	b2162	2254245	2255186	-
318	b2163	2255355	2256014	+
319	b2160	2251700	2252788	+
320	b2161	2252895	2254145	-
321	b3657	3834547	3835929	-
322	b2168	2261427	2262365	-
323	b2169	2262365	2263495	-
324	b1888	1973360	1975324	-
325	b1889	1975329	1976255	-
326	b2982	3130178	3131194	+
327	b2983	3131341	3132408	-
328	b2984	3132454	3133212	-
329	b2985	3133244	3133957	-
330	b2986	3134131	3134823	+
